Task,TabuLa-8B (0 shots),TabuLa-8B (1 shots),TabuLa-8B (2 shots),TabuLa-8B (3 shots),TabuLa-8B (4 shots),TabuLa-8B (8 shots),TabuLa-8B (16 shots),TabuLa-8B (32 shots),TabuLa-8B (64 shots),TabuLa-8B (128 shots),Random Baseline
unipredict/dansbecker/aer-credit-card-data,0.609,0.742,0.633,0.703,0.742,0.844,0.906,0.93,0.953,,0.5
unipredict/deependraverma13/diabetes-healthcare-comprehensive-dataset,0.602,0.641,0.695,0.586,0.68,0.719,0.75,0.734,0.664,,0.5
unipredict/desalegngeb/german-fintech-companies,0.758,0.727,0.773,0.789,0.789,0.836,0.883,,,,0.25
unipredict/dileep070/heart-disease-prediction-using-logistic-regression,0.789,0.727,0.828,0.773,0.75,0.836,0.844,0.805,,,0.5
unipredict/dsfelix/us-stores-sales,0.547,0.562,0.625,0.562,0.648,0.727,0.789,,,,0.25
unipredict/elakiricoder/gender-classification-dataset,0.594,0.648,0.648,0.641,0.719,0.781,0.891,0.883,0.891,,0.5
unipredict/fedesoriano/stroke-prediction-dataset,0.945,0.969,0.953,0.969,0.977,0.93,0.969,0.945,0.93,,0.5
unipredict/gabrielsantello/cars-purchase-decision-dataset,0.383,0.586,0.617,0.641,0.609,0.547,0.727,0.82,0.875,0.852,0.5
unipredict/gauravduttakiit/resume-dataset,0.906,0.953,0.93,0.914,0.969,,,,,,0.04
unipredict/geomack/spotifyclassification,0.422,0.445,0.531,0.578,0.641,0.633,0.914,0.984,,,0.5
unipredict/gyanprakashkushwaha/laptop-price-prediction-cleaned-dataset,0.328,0.484,0.375,0.492,0.562,0.555,0.57,0.57,,,0.25
unipredict/hansrobertson/american-companies-profits-and-benefits-from-ai,0.25,0.25,0.234,0.281,0.297,0.273,0.297,0.242,,,0.25
unipredict/harishkumardatalab/medical-insurance-price-prediction,0.336,0.609,0.562,0.641,0.586,0.633,0.75,0.75,,,0.25
unipredict/harshitshankhdhar/imdb-dataset-of-top-1000-movies-and-tv-shows,0.43,0.445,0.398,0.383,0.445,0.422,0.477,,,,0.25
unipredict/hashemi221022/bank-loans,0.773,0.797,0.891,0.844,0.844,0.836,0.852,0.867,0.906,,0.5
unipredict/hashemi221022/diabetes,0.508,0.648,0.641,0.664,0.75,0.789,0.734,0.656,0.625,,0.5
unipredict/hawkingcr/airbnb-for-boston-with-fraud-detection,0.789,0.703,0.812,0.727,0.719,0.719,0.648,0.797,,,0.5
unipredict/hemanthhari/psycological-effects-of-covid,0.414,0.383,0.328,0.406,0.391,0.391,0.414,0.57,,,0.143
unipredict/hesh97/titanicdataset-traincsv,0.797,0.727,0.797,0.805,0.734,0.695,0.766,0.703,0.805,,0.5
unipredict/iamsumat/spotify-top-2000s-mega-dataset,0.305,0.461,0.438,0.414,0.406,0.391,0.406,0.516,,,0.25
unipredict/iqmansingh/company-employee-dataset,0.641,0.562,0.594,0.508,0.539,0.578,0.617,0.586,,,0.05
unipredict/ishadss/productivity-prediction-of-garment-employees,0.391,0.375,0.461,0.344,0.43,0.484,0.438,,,,0.25
unipredict/jainilcoder/netflix-stock-price-prediction,1.0,0.953,0.969,0.984,0.992,0.984,0.992,0.992,,,0.25
unipredict/jillanisofttech/brain-stroke-dataset,0.969,0.953,0.961,0.938,0.961,0.953,0.945,0.953,0.977,,0.5
unipredict/kabure/german-credit-data-with-risk,0.594,0.578,0.523,0.578,0.586,0.547,0.625,0.695,0.672,,0.5
unipredict/kandij/diabetes-dataset,0.562,0.695,0.672,0.688,0.758,0.727,0.68,0.711,0.703,,0.5
unipredict/kanths028/usa-housing,0.195,0.234,0.258,0.32,0.281,0.203,0.328,,,,0.25
unipredict/kingabzpro/cosmetics-datasets,0.859,0.844,0.773,0.898,0.836,0.797,0.82,,,,0.167
unipredict/kreeshrajani/human-stress-prediction,0.547,0.633,0.57,0.586,0.633,0.586,0.562,0.664,,,0.5
unipredict/kumargh/pimaindiansdiabetescsv,0.117,0.133,0.125,0.094,0.172,0.125,0.172,0.141,,,0.077
unipredict/larsen0966/student-performance-data-set,0.297,0.336,0.242,0.375,0.266,0.359,0.273,,,,0.077
unipredict/lightonkalumba/us-womens-labor-force-participation,0.891,1.0,0.992,0.992,0.992,1.0,1.0,1.0,,,0.5
unipredict/mahnazarjmand/bank-personal-loan,0.758,0.836,0.828,0.891,0.828,0.93,0.93,0.922,0.93,,0.5
unipredict/maryalebron/life-expectancy-data,0.023,0.023,0.031,0.023,0.023,0.016,0.031,,,,0.028
unipredict/maryammanoochehry/bank-personal-loan,0.844,0.836,0.828,0.859,0.891,0.82,0.922,0.883,0.883,,0.5
unipredict/mathchi/diabetes-data-set,0.5,0.633,0.625,0.727,0.695,0.672,0.648,0.68,0.617,,0.5
unipredict/mayankpatel14/second-hand-used-cars-data-set-linear-regression,0.234,0.258,0.289,0.219,0.203,0.328,0.281,0.297,,,0.25
unipredict/mayurdalvi/simple-linear-regression-placement-data,0.453,0.5,0.516,0.508,0.516,0.508,0.578,0.594,0.438,0.508,0.5
unipredict/mayuriawati/bangalore-chain-restaurants-ratings-and-reviews,0.891,0.805,0.852,0.844,0.875,0.859,0.93,,,,0.045
unipredict/mazlumi/ielts-writing-scored-essays-dataset,0.109,0.18,0.211,0.219,0.227,0.195,,,,,0.083
unipredict/mfaisalqureshi/spam-email,0.703,0.789,0.773,0.805,0.891,0.914,0.969,0.984,0.977,0.992,0.5
unipredict/mirichoi0218/insurance,0.25,0.523,0.586,0.648,0.633,0.594,0.734,0.719,,,0.25
unipredict/nancyalaswad90/review,0.617,0.664,0.703,0.641,0.641,0.75,0.695,0.68,0.75,,0.5
unipredict/naveenkumar20bps1137/predict-students-dropout-and-academic-success,0.039,0.031,0.039,0.039,0.086,0.094,0.227,,,,0.059
unipredict/nikhil1e9/netflix-stock-price,0.984,0.977,1.0,1.0,0.977,0.992,1.0,0.984,,,0.25
